,id,name,iata,icao,city,lat,lon,country,alt,size,timezone,countryId
559,8126,Bovanenkovo Airport,BVJ,USDB,Bovanenkovo,70.315277,68.333611,Russia,23,1611,"{'name': 'Asia/Yekaterinburg', 'offset': 18000, 'offsetHours': '5:00', 'abbr': '+05', 'abbrName': None, 'isDst': False}",182
560,4521,Bowling Green Warren County Regional Airport,BWG,KBWG,Bowling Green,36.962223,-86.422218,United States,547,21318,"{'name': 'America/Chicago', 'offset': -18000, 'offsetHours': '-5:00', 'abbr': 'CDT', 'abbrName': 'Central Daylight Time', 'isDst': True}",236
561,550,Bozeman Yellowstone International Airport,BZN,KBZN,Bozeman,45.777458,-111.152,United States,4473,148110,"{'name': 'America/Denver', 'offset': -21600, 'offsetHours': '-6:00', 'abbr': 'MDT', 'abbrName': 'Mountain Daylight Time', 'isDst': True}",236
562,4619,Bradford Regional Airport,BFD,KBFD,Bradford,41.802223,-78.639442,United States,2143,7216,"{'name': 'America/New_York', 'offset': -14400, 'offsetHours': '-4:00', 'abbr': 'EDT', 'abbrName': 'Eastern Daylight Time', 'isDst': True}",236
563,5987,Braga Airport,BGZ,LPBR,Braga,41.587101,-8.44514,Portugal,247,606,"{'name': 'Europe/Lisbon', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'WEST', 'abbrName': 'Western European Summer Time', 'isDst': True}",177
564,332,Braganca Airport,BGC,LPBG,Braganca,41.8578,-6.70712,Portugal,2241,1687,"{'name': 'Europe/Lisbon', 'offset': 3600, 'offsetHours': '1:00', 'abbr': 'WEST', 'abbrName': 'Western European Summer Time', 'isDst': True}",177
565,4736,Brainerd Lakes Regional Airport,BRD,KBRD,Brainerd,46.397221,-94.137497,United States,1226,30106,"{'name': 'America/Chicago', 'offset': -18000, 'offsetHours': '-5:00', 'abbr': 'CDT', 'abbrName': 'Central Daylight Time', 'isDst': True}",236
566,3945,Brandon Municipal Airport,YBR,CYBR,Brandon,49.91,-99.951897,Canada,1343,8464,"{'name': 'America/Winnipeg', 'offset': -18000, 'offsetHours': '-5:00', 'abbr': 'CDT', 'abbrName': 'Central Daylight Time', 'isDst': True}",40
567,388,Branson Airport,BKG,KBBG,Branson,36.532082,-93.2005,United States,1302,17111,"{'name': 'America/Chicago', 'offset': -18000, 'offsetHours': '-5:00', 'abbr': 'CDT', 'abbrName': 'Central Daylight Time', 'isDst': True}",236
568,481,Brasilia International Airport,BSB,SBBR,Brasilia,-15.8711,-47.918598,Brazil,3479,380668,"{'name': 'America/Sao_Paulo', 'offset': -10800, 'offsetHours': '-3:00', 'abbr': '-03', 'abbrName': None, 'isDst': False}",32
